20230710_200850  14.074 MHz  FT8 JTDX vNot for Release
20230710_204145  -1  1.1 1630 ~  M0CFV EI7BR +11
20230710_204145 -12  0.6  512 ~  EU2Q JA4DND RR73
20230710_204145 -10  0.2 1393 ~  CQ LZ1PRT KN22
20230710_204200  25 -0.4  407 ~  YH7OA DL2MIJ R-24
20230710_204200  20  0.1  751 ~  DG1ABC DF0CON 73
20230710_204200   1  0.2 2653 ~  CQ SV9CAF KM25
20230710_204200   4  0.2 2488 ~  <...> DC5TT JN49
20230710_204200   5  0.2 1192 ~  CU3AT M0RTP -04
20230710_204200   8  0.1 2144 ~  LZ1PRT IZ8PPI -02
20230710_204200   1  0.2 1714 ~  YH7HC DH6BH 73
20230710_204200  -1  0.2  981 ~  CQ GW1OZW IO81
20230710_204200  -4  0.2 2971 ~  CQ RA1AGK KO49
20230710_204200   7  0.2 1887 ~  2E0LHF PD0WAG JO21
20230710_204200   7  0.2 1574 ~  CQ YB PF7DKW JO21
20230710_204200   0  0.2 1239 ~  PD1WNL 9A2KS JN65
20230710_204200  -3  0.2 2905 ~  OH0/SP9FOW <...> RR73
20230710_204200   6  0.8 1520 ~  <OH0/SP9FOW> EA3FAB R-24
20230710_204200  -1  1.0 1747 ~  EA3HFS SQ3LMR JO81
20230710_204200  -2  1.5 1334 ~  CQ LZ1DPP KN32
20230710_204200  -1  0.2 1393 ~  LZ1PRT OK7MZ JN89
20230710_204200  -6  0.5  852 ~  CQ G1YPG IO82
20230710_204200   8  0.2  520 ~  PD1RP/P IK4ICS 73
20230710_204200 -12  0.1 1269 ~  <...> MI0JLC IO64
20230710_204200 -12  0.1 1109 ~  LA1VNA DH8JW JO30
20230710_204200  -9  0.4 2615 ~  LB3GE DL3BH JN48
20230710_204200  -7  0.6 1328 ~  DL9GCW SV1JSS RR73
20230710_204200  -3  0.2 1414 ~  SV1GYN DL0IMO -15
20230710_204200 -15  0.2 2783 ~  UB3ANV R9RA RR73
20230710_204200  -7  0.6 1436 ~  CQ LZ2QW KN22
20230710_204200 -11  0.2 2122 ~  CQ MI0NUM IO64
20230710_204200 -12  2.5 1204 ~  CQ 9A6KSF JN75
20230710_204200   6  0.1  511 ~  JA4DND HA3MK -13
